,都道府県名,市区町村名,名称,団体名,緯度,経度,小児対応設備の有無
189,東京都,江東区,東砂幼稚園,,35.678355,139.839203,
190,東京都,江東区,東砂スポーツセンター,,35.67919,139.839457,
191,東京都,江東区,第五砂町幼稚園,,35.671449,139.838765,
192,東京都,江東区,東砂福祉会館,,35.674512,139.839726,
193,東京都,江東区,第二砂町小学校,,35.674913,139.838754,
194,東京都,江東区,東砂第四保育園,,35.674038,139.838945,
195,東京都,江東区,第二砂町中学校,,35.674913,139.838754,
196,東京都,江東区,第五砂町小学校,,35.667061,139.838908,
197,東京都,江東区,深川老人福祉センター,,35.678483,139.79865,
198,東京都,江東区,深川北スポーツセンター,,35.676881,139.805101,
199,東京都,江東区,深川第六中学校,,35.678866,139.805636,
200,東京都,江東区,深川一丁目保育園,,35.677514,139.796537,
201,東京都,江東区,明治小学校,,35.676239,139.797777,
202,東京都,江東区,深川第二中学校,,35.676298,139.80066,
203,東京都,江東区,古石場福祉会館,,35.669226,139.794725,
204,東京都,江東区,ちどり幼稚園,,35.669206,139.794839,
205,東京都,江東区,古石場文化センター,,35.666898,139.798983,
206,東京都,江東区,古石場高齢者在宅サービスセンター,,35.666985,139.800185,
207,東京都,江東区,古石場保育園,,35.667148,139.799798,
208,東京都,江東区,第二南砂中学校,,35.678155,139.820941,
209,東京都,江東区,南砂第二保育園,,35.670276,139.822002,
210,東京都,江東区,第四砂町小学校,,35.675144,139.821752,
211,東京都,江東区,南砂児童館,,35.671091,139.823217,
212,東京都,江東区,南砂中学校,,35.673298,139.823699,
213,東京都,江東区,南砂小学校,,35.671835,139.825039,
214,東京都,江東区,みどり幼稚園,,35.67328,139.822884,
215,東京都,江東区,南砂第三保育園,,35.673343,139.8227,
216,東京都,江東区,南砂第四保育園,,35.671841,139.823208,
217,東京都,江東区,南砂高齢者在宅サービスセンター,,35.670794,139.822728,
218,東京都,江東区,南砂第五保育園,,35.670622,139.823626,
219,東京都,江東区,第三砂町中学校,,35.670189,139.829709,
220,東京都,江東区,南砂町駅地下自転車駐車場,,35.669018,139.831701,
221,東京都,江東区,南砂子ども家庭支援センター,,35.668813,139.831886,
222,東京都,江東区,城東南部保健相談所,,35.674304,139.827701,
223,東京都,江東区,南砂第一保育園,,35.674737,139.828931,
224,東京都,江東区,第三砂町小学校,,35.672809,139.833372,
225,東京都,江東区,きっずクラブ南砂六丁目,,35.673054,139.835144,
226,東京都,江東区,江東図書館,,35.671909,139.834086,
227,東京都,江東区,南砂出張所,,35.671161,139.834861,
228,東京都,江東区,南砂さくら保育園,,35.671087,139.835142,
229,東京都,江東区,城東保育園,,35.669831,139.835307,
230,東京都,江東区,深川第七中学校,,35.69134,139.813713,
231,東京都,江東区,第二あすなろ作業所,,35.690712,139.816454,
232,東京都,江東区,毛利保育園,,35.690724,139.816691,
233,東京都,江東区,毛利小学校,,35.691365,139.816285,
234,東京都,江東区,森下駅地下自転車駐車場,,35.685276,139.802113,
235,東京都,江東区,森下文化センター,,35.685276,139.802113,
236,東京都,江東区,森下保育園,,35.686076,139.803062,
237,東京都,江東区,深川第一中学校,,35.685252,139.805791,
238,東京都,江東区,深川老人福祉センター森下分館,,35.684832,139.808896,
239,東京都,江東区,臨海小学校,,35.672452,139.792954,
240,東京都,江東区,深川東京モダン館,,35.674092,139.794915,
241,東京都,江東区,夢の島総合運動場,,35.650166,139.823387,
242,東京都,江東区,夢の島スケートボードパーク,,35.65426,139.822598,
243,東京都,江東区,夢の島競技場,,35.648514,139.823658,
244,東京都,江東区,夢の島区民農園,,35.647474,139.82265,
245,東京都,江東区,若洲公園,,35.618649,139.833833,
