,都道府県名,市区町村名,名称,団体名,緯度,経度,小児対応設備の有無
133,東京都,町田市,南成瀬中学校,町田市,35.53366694,139.482134,無
134,東京都,町田市,鶴川中学校,町田市,35.59367678,139.4537764,無
135,東京都,町田市,鶴川中学校,町田市,35.59367678,139.4537764,無
136,東京都,町田市,鶴川第二中学校,町田市,35.59012258,139.4750023,無
137,東京都,町田市,鶴川第二中学校,町田市,35.59012258,139.4750023,無
138,東京都,町田市,薬師中学校,町田市,35.57586925,139.44919,無
139,東京都,町田市,薬師中学校,町田市,35.57586925,139.44919,無
140,東京都,町田市,金井中学校,町田市,35.57643822,139.4624812,無
141,東京都,町田市,金井中学校,町田市,35.57643822,139.4624812,無
142,東京都,町田市,忠生中学校,町田市,35.57798375,139.4150644,無
143,東京都,町田市,忠生中学校,町田市,35.57798375,139.4150644,無
144,東京都,町田市,山崎中学校,町田市,35.57775214,139.4319285,無
145,東京都,町田市,山崎中学校,町田市,35.57775214,139.4319285,無
146,東京都,町田市,木曽中学校,町田市,35.56866111,139.413324,無
147,東京都,町田市,木曽中学校,町田市,35.56866111,139.413324,無
148,東京都,町田市,真光寺中学校,町田市,35.59753114,139.4646209,無
149,東京都,町田市,真光寺中学校,町田市,35.59753114,139.4646209,無
150,東京都,町田市,小山田中学校,町田市,35.587323,139.4039928,無
151,東京都,町田市,小山田中学校,町田市,35.587323,139.4039928,無
152,東京都,町田市,小山中学校,町田市,35.59514769,139.386153,無
153,東京都,町田市,小山中学校,町田市,35.59514769,139.386153,無
154,東京都,町田市,堺中学校,町田市,35.60459461,139.3366983,無
155,東京都,町田市,堺中学校,町田市,35.60459461,139.3366983,無
156,東京都,町田市,武蔵岡中学校,町田市,35.60933222,139.3048867,無
157,東京都,町田市,武蔵岡中学校,町田市,35.60933222,139.3048867,無
158,東京都,町田市,教育センター,町田市,35.55965831,139.4240951,無
159,東京都,町田市,教育センター,町田市,35.55965831,139.4240951,有
160,東京都,町田市,教育センター,町田市,35.55965831,139.4240951,有
161,東京都,町田市,国際版画美術館,町田市,35.54426772,139.4551922,有
162,東京都,町田市,町田リス園,町田市,35.57805895,139.4499793,有
163,東京都,町田市,町田ダリア園,町田市,35.57589398,139.4402235,有
164,東京都,町田市,大賀藕絲館,町田市,35.58500636,139.4091928,有
165,東京都,町田市,美術工芸館,町田市,35.57742222,139.4190919,有
166,東京都,町田市,ふれあい桜館,町田市,35.58520442,139.40816,無
167,東京都,町田市,ふれあいもみじ館,町田市,35.53039282,139.465254,有
168,東京都,町田市,ふれあいいちょう館,町田市,35.58898797,139.4681171,無
169,東京都,町田市,ふれあいくぬぎ館,町田市,35.56859211,139.4367405,無
170,東京都,町田市,ふれあいけやき館,町田市,35.60426225,139.3333939,無
171,東京都,町田市,ふれあいもっこく館,町田市,35.546023,139.4500347,無
172,東京都,町田市,デイサービス南大谷,町田市,35.55369136,139.4574684,無
173,東京都,町田市,玉川学園高齢者サービスセンター,町田市,35.56335767,139.4586873,無
174,東京都,町田市,本町田高齢者在宅サービスセンター,町田市,35.56014133,139.4385691,無
175,東京都,町田市,デイサービス忠生,町田市,35.57500122,139.4213004,無
176,東京都,町田市,デイサービス三輪,町田市,35.57716197,139.4931271,有
177,東京都,町田市,デイサービス榛名坂,町田市,35.58006047,139.4594846,無
178,東京都,町田市,デイサービスあいはら,町田市,35.60645274,139.302113,無
179,東京都,町田市,デイサービス森野,町田市,35.55081856,139.4369347,無
180,東京都,町田市,わくわくプラザ町田,町田市,35.54255866,139.4426419,無
181,東京都,町田市,町田市保健所中町庁舎,町田市,35.5512058,139.4437455,有
182,東京都,町田市,健康福祉会館,町田市,35.54602299,139.4500347,有
183,東京都,町田市,中央学童保育クラブ,町田市,35.54804665,139.4466602,無
184,東京都,町田市,藤の台学童保育クラブ,町田市,35.5696432,139.4438955,無
185,東京都,町田市,木曽学童保育クラブ,町田市,35.56319015,139.426331,無
186,東京都,町田市,木曽境川学童保育クラブ,町田市,35.56545374,139.4161173,無
187,東京都,町田市,七国山学童保育クラブ,町田市,35.5763085,139.4353089,無
188,東京都,町田市,竹ん子学童保育クラブ,町田市,35.56417224,139.4459431,無
189,東京都,町田市,学童21保育クラブ,町田市,35.54567303,139.4526508,無
190,東京都,町田市,高ヶ坂学童保育クラブ,町田市,35.54100269,139.4622896,無
191,東京都,町田市,すまいる学童保育クラブ,町田市,35.55071228,139.477662,無
192,東京都,町田市,野津田学童保育クラブ,町田市,35.59055875,139.4568834,無
193,東京都,町田市,なんなる学童保育クラブ,町田市,35.53991505,139.4703653,無
194,東京都,町田市,鶴間ひまわり学童保育クラブ,町田市,35.5051873,139.4694911,無
195,東京都,町田市,金森学童保育クラブ,町田市,35.53680963,139.4580565,無
196,東京都,町田市,鶴川第四学童保育クラブ,町田市,35.59311813,139.4630657,無
197,東京都,町田市,森野学童保育クラブ,町田市,35.55010514,139.4391407,無
198,東京都,町田市,成瀬中央あおぞら学童保育クラブ,町田市,35.5469088,139.4768088,無
199,東京都,町田市,なかよし学童保育クラブ,町田市,35.578836,139.4166112,無
200,東京都,町田市,わんぱく学童保育クラブ,町田市,35.52735053,139.4704588,無
201,東京都,町田市,そよかぜ学童保育クラブ,町田市,35.53841248,139.4789423,無
202,東京都,町田市,大蔵学童保育クラブ,町田市,35.58721717,139.4678103,無
203,東京都,町田市,どろん子学童保育クラブ,町田市,35.53303141,139.4672109,無
204,東京都,町田市,金井学童保育クラブ,町田市,35.56996338,139.458162,無
205,東京都,町田市,鶴川学童保育クラブ,町田市,35.59053286,139.4734398,無
206,東京都,町田市,つくし野学童保育クラブ,町田市,35.52559394,139.4825902,無
207,東京都,町田市,高ヶ坂けやき学童保育クラブ,町田市,35.54100269,139.4622896,無
208,東京都,町田市,図師学童保育クラブ,町田市,35.58432541,139.4167523,無
209,東京都,町田市,大戸のびっ子学童保育クラブ,町田市,35.60933221,139.3048867,無
210,東京都,町田市,南大谷学童保育クラブ,町田市,35.55192458,139.4633146,無
211,東京都,町田市,桜の森学童保育クラブ,町田市,35.58867339,139.4007349,無
212,東京都,町田市,小山学童保育クラブ,町田市,35.59194313,139.3776096,無
213,東京都,町田市,小山田学童保育クラブ,町田市,35.59657399,139.406031,無
214,東京都,町田市,本町田学童保育クラブ,町田市,35.56303572,139.4375338,無
215,東京都,町田市,藤の台ポケット組学童保育クラブ,町田市,35.57282567,139.4516909,無
216,東京都,町田市,小山ヶ丘学童保育クラブ,町田市,35.60508148,139.354461,無
217,東京都,町田市,小山中央学童保育クラブ,町田市,35.60208337,139.3732948,無
218,東京都,町田市,鶴川第二学童保育クラブ,町田市,35.59224229,139.4819384,無
219,東京都,町田市,南つくし野学童保育クラブ,町田市,35.51721784,139.4749869,無
220,東京都,町田市,山崎学童保育クラブ,町田市,35.57550353,139.4242544,無
221,東京都,町田市,南第一さくら学童保育クラブ,町田市,35.52200089,139.4678254,無
222,東京都,町田市,みわっこ学童保育クラブ,町田市,35.57780134,139.4961691,無
223,東京都,町田市,相原たけの子学童保育クラブ,町田市,35.60678602,139.3235509,無
224,東京都,町田市,子どもセンターぱお,町田市,35.60832624,139.3215251,有
225,東京都,町田市,子どもセンターつるっこ,町田市,35.58986073,139.4659067,有
226,東京都,町田市,子どもセンターただＯＮ,町田市,35.5742098,139.422059,有
227,東京都,町田市,子どもセンターまあち,町田市,35.54820169,139.4488512,有
228,東京都,町田市,子どもセンターぱお分館,町田市,35.60439039,139.3671513,有
229,東京都,町田市,玉川学園子どもクラブころころ児童館,町田市,35.5629397,139.4590821,有
230,東京都,町田市,南大谷子どもクラブ,町田市,35.55362465,139.4578524,有
231,東京都,町田市,木曽子どもクラブ,町田市,35.55776619,139.4307667,有
232,東京都,町田市,こうさぎ保育園,町田市,35.60432642,139.3337439,有
233,東京都,町田市,金森保育園,町田市,35.53511204,139.4598534,有
234,東京都,町田市,大蔵保育園,町田市,35.58867994,139.4679777,有
